iter	Passed	Remaining
531	9991	8789
532	10013	8773
533	10030	8753
534	10049	8734
535	10063	8711
536	10080	8691
537	10099	8672
538	10114	8651
539	10132	8630
540	10145	8608
541	10164	8588
542	10180	8568
543	10201	8551
544	10223	8535
545	10239	8514
546	10253	8491
547	10272	8473
548	10289	8452
549	10306	8432
550	10322	8411
551	10342	8393
552	10360	8374
553	10381	8357
554	10396	8336
555	10412	8314
556	10428	8294
557	10444	8273
558	10461	8253
559	10480	8234
560	10491	8210
561	10508	8190
562	10524	8169
563	10547	8154
564	10564	8134
565	10579	8111
566	10595	8091
567	10613	8072
568	10629	8051
569	10647	8032
570	10661	8010
571	10679	7990
572	10694	7969
573	10712	7950
574	10733	7933
575	10746	7910
576	10765	7892
577	10781	7871
578	10800	7853
579	10816	7832
580	10831	7811
581	10845	7789
582	10863	7770
583	10881	7751
584	10901	7733
585	10913	7710
586	10935	7694
587	10952	7674
588	10968	7653
589	10986	7634
590	11000	7613
591	11016	7592
592	11033	7572
593	11051	7553
594	11069	7535
595	11085	7514
596	11106	7497
597	11124	7478
598	11141	7458
599	11157	7438
600	11172	7417
601	11187	7396
602	11203	7376
603	11220	7356
604	11239	7337
605	11258	7319
606	11270	7297
607	11288	7278
608	11306	7259
609	11327	7242
610	11343	7222
611	11358	7201
612	11376	7182
613	11392	7162
614	11411	7143
615	11433	7127
616	11444	7104
617	11463	7085
618	11482	7067
619	11498	7047
620	11514	7027
621	11529	7006
622	11548	6988
623	11564	6968
624	11581	6949
625	11610	6936
626	11624	6915
627	11638	6894
628	11657	6875
629	11675	6856
630	11688	6835
631	11706	6816
632	11723	6797
633	11743	6779
634	11764	6762
635	11779	6741
636	11795	6721
637	11810	6701
638	11830	6683
639	11851	6666
640	11867	6646
641	11879	6624
642	11901	6607
643	11919	6588
644	11939	6571
645	11953	6550
646	11970	6531
647	11986	6511
648	12006	6493
649	12029	6477
650	12044	6457
651	12060	6437
652	12077	6418
653	12094	6398
654	12115	6381
655	12127	6359
656	12144	6340
657	12164	6322
658	12182	6304
659	12199	6284
660	12214	6264
661	12231	6244
662	12246	6225
663	12264	6205
664	12280	6186
665	12298	6167
666	12316	6149
667	12333	6130
668	12351	6110
669	12366	6091
670	12383	6071
671	12399	6051
672	12416	6032
673	12432	6013
674	12449	5994
675	12468	5976
676	12482	5955
677	12499	5936
678	12515	5916
679	12535	5899
680	12552	5879
681	12565	5859
682	12584	5841
683	12602	5822
684	12620	5803
685	12638	5784
686	12651	5764
687	12667	5744
688	12681	5724
689	12698	5704
690	12716	5686
691	12731	5666
692	12748	5647
693	12768	5629
694	12787	5611
695	12803	5592
696	12820	5573
697	12833	5552
698	12849	5533
699	12865	5513
700	12882	5494
701	12896	5474
702	12913	5455
703	12929	5436
704	12947	5417
705	12962	5397
706	12984	5381
707	12995	5359
708	13015	5342
709	13033	5323
710	13050	5304
711	13066	5285
712	13080	5265
713	13099	5247
714	13117	5228
715	13133	5209
716	13152	5191
717	13164	5170
718	13181	5151
719	13196	5131
720	13213	5113
721	13230	5094
722	13247	5075
723	13265	5057
724	13285	5039
725	13301	5019
726	13318	5001
727	13332	4981
728	13346	4961
729	13361	4942
730	13380	4923
731	13395	4904
732	13413	4886
733	13429	4866
734	13449	4849
735	13466	4830
736	13483	4811
737	13500	4792
738	13513	4772
739	13537	4756
740	13552	4737
741	13569	4718
742	13591	4701
743	13609	4682
744	13627	4664
745	13644	4645
746	13663	4627
747	13676	4607
748	13694	4589
749	13710	4570
750	13728	4551
751	13747	4533
752	13762	4514
753	13781	4496
754	13803	4479
755	13823	4461
756	13841	4443
757	13856	4423
758	13870	4404
759	13886	4385
760	13904	4366
761	13921	4348
762	13941	4330
763	13959	4312
764	13978	4293
765	13998	4276
766	14015	4257
767	14030	4238
768	14045	4219
769	14061	4200
770	14081	4182
771	14100	4164
772	14121	4146
773	14142	4129
774	14158	4110
775	14175	4091
776	14197	4074
777	14208	4054
778	14228	4036
779	14247	4018
780	14263	3999
781	14282	3981
782	14300	3963
783	14324	3946
784	14343	3928
785	14361	3910
786	14376	3890
787	14392	3871
788	14410	3853
789	14433	3836
790	14450	3818
791	14469	3800
792	14483	3780
793	14501	3762
794	14522	3744
795	14540	3726
796	14551	3706
797	14572	3688
798	14590	3670
799	14609	3652
800	14626	3633
801	14641	3614
802	14661	3597
803	14678	3578
804	14697	3560
805	14712	3541
806	14729	3522
807	14748	3504
808	14765	3486
809	14783	3467
810	14803	3449
811	14818	3430
812	14835	3412
813	14852	3393
814	14870	3375
815	14885	3356
816	14898	3337
817	14915	3318
818	14934	3300
819	14949	3281
820	14969	3263
821	14984	3244
822	15006	3227
823	15023	3208
824	15043	3191
825	15056	3171
826	15071	3152
827	15089	3134
828	15109	3116
829	15129	3098
830	15149	3081
831	15164	3062
832	15181	3043
833	15198	3025
834	15218	3007
835	15239	2989
836	15255	2970
837	15272	2952
838	15288	2933
839	15307	2915
840	15325	2897
841	15341	2878
842	15359	2860
843	15379	2842
844	15400	2824
845	15415	2806
846	15433	2787
847	15447	2768
848	15466	2750
849	15486	2732
850	15500	2713
851	15519	2695
852	15538	2677
853	15555	2659
854	15571	2640
855	15585	2621
856	15601	2603
857	15616	2584
858	15633	2566
859	15651	2547
860	15668	2529
861	15685	2511
862	15706	2493
863	15723	2475
864	15743	2457
865	15757	2438
866	15774	2419
867	15789	2401
868	15809	2383
869	15829	2365
870	15847	2347
871	15862	2328
872	15877	2309
873	15896	2291
874	15914	2273
875	15929	2254
876	15943	2236
877	15961	2217
878	15978	2199
879	15996	2181
880	16016	2163
881	16027	2144
882	16048	2126
883	16065	2108
884	16085	2090
885	16112	2073
886	16133	2055
887	16152	2037
888	16182	2020
889	16199	2002
890	16216	1983
891	16230	1965
892	16252	1947
893	16270	1929
894	16280	1909
895	16301	1892
896	16318	1873
897	16336	1855
898	16354	1837
899	16368	1818
900	16382	1800
901	16400	1781
902	16435	1765
903	16459	1747
904	16477	1729
905	16495	1711
906	16534	1695
907	16556	1677
908	16619	1663
909	16660	1647
910	16684	1630
911	16722	1613
912	16749	1596
913	16770	1577
914	16787	1559
915	16806	1541
916	16824	1522
917	16845	1504
918	16866	1486
919	16883	1468
920	16906	1450
921	16924	1431
922	16943	1413
923	16965	1395
924	16983	1377
925	17001	1358
926	17021	1340
927	17040	1322
928	17057	1303
929	17078	1285
930	17097	1267
931	17116	1248
932	17136	1230
933	17156	1212
934	17172	1193
935	17191	1175
936	17210	1157
937	17231	1138
938	17246	1120
939	17267	1102
940	17284	1083
941	17306	1065
942	17322	1047
943	17340	1028
944	17360	1010
945	17378	992
946	17405	974
947	17430	956
948	17452	937
949	17468	919
950	17486	900
951	17504	882
952	17525	864
953	17544	845
954	17565	827
955	17581	809
956	17600	790
957	17621	772
958	17640	754
959	17658	735
960	17675	717
961	17695	699
962	17712	680
963	17734	662
964	17751	643
965	17769	625
966	17790	607
967	17809	588
968	17827	570
969	17845	551
970	17862	533
971	17878	515
972	17901	496
973	17920	478
974	17936	459
975	17952	441
976	17969	423
977	17986	404
978	18006	386
979	18018	367
980	18037	349
981	18054	330
982	18074	312
983	18091	294
984	18106	275
985	18123	257
986	18139	238
987	18158	220
988	18175	202
989	18188	183
990	18206	165
991	18221	146
992	18243	128
993	18263	110
994	18278	91
995	18298	73
996	18317	55
997	18339	36
998	18355	18
999	18371	0
